date,region,category,orders,revenue,active_users,churned_users
2024-03-29,North India,Electronics,9,24987.32,16,0
2024-03-30,North India,Electronics,12,44367.29,19,0
2024-03-31,North India,Electronics,12,39319.31,18,0
2024-04-01,North India,Electronics,14,24313.6,23,1
2024-04-02,North India,Electronics,6,19030.62,9,0
2024-04-03,North India,Electronics,8,25856.14,13,0
2024-04-04,North India,Electronics,5,15372.46,7,0
2024-04-05,North India,Electronics,2,6146.7,3,0
2024-04-06,North India,Electronics,9,33973.88,15,0
2024-04-07,North India,Electronics,10,28355.07,17,0
2024-04-08,North India,Electronics,9,31005.22,16,0
2024-04-09,North India,Electronics,4,14086.78,6,0
2024-04-10,North India,Electronics,3,8109.35,4,0
2024-04-11,North India,Electronics,6,23931.67,9,0
2024-04-12,North India,Electronics,3,8727.45,4,0
2024-04-13,North India,Electronics,4,11758.58,6,0
2024-04-14,North India,Electronics,5,14529.26,8,0
2024-04-15,North India,Electronics,8,28235.31,13,0
2024-04-16,North India,Electronics,8,22706.72,14,0
2024-04-17,North India,Electronics,2,5777.78,3,0
2024-04-18,North India,Electronics,5,17614.26,9,0
2024-04-19,North India,Electronics,9,33378.53,15,0
2024-04-20,North India,Electronics,10,34587.39,16,0
2024-04-21,North India,Electronics,8,26568.3,11,0
2024-04-22,North India,Electronics,5,17221.85,7,0
2024-04-23,North India,Electronics,6,21453.84,8,0
2024-04-24,North India,Electronics,4,11580.22,7,0
2024-04-25,North India,Electronics,5,18240.08,7,0
2024-04-26,North India,Electronics,8,25220.69,13,0
2024-04-27,North India,Electronics,9,32900.14,15,0
2024-04-28,North India,Electronics,15,52729.04,26,1
2024-04-29,North India,Electronics,8,18934.44,12,0
2024-04-30,North India,Electronics,5,17800.18,8,0
2024-05-01,North India,Electronics,4,13809.44,6,0
2024-05-02,North India,Electronics,7,22539.41,9,0
2024-05-03,North India,Electronics,4,12792.07,6,0
2024-05-04,North India,Electronics,10,25772.14,16,0
2024-05-05,North India,Electronics,12,36273.65,20,0
2024-05-06,North India,Electronics,7,18024.91,11,0
2024-05-07,North India,Electronics,2,7109.38,3,0
2024-05-08,North India,Electronics,7,18650.83,12,0
2024-05-09,North India,Electronics,3,9533.53,5,0
2024-05-10,North India,Electronics,3,7868.9,5,0
2024-05-11,North India,Electronics,13,47143.48,22,0
2024-05-12,North India,Electronics,15,43001.16,26,0
2024-05-13,North India,Electronics,3,10643.5,4,0
2024-05-14,North India,Electronics,9,30711.19,16,0
2024-05-15,North India,Electronics,7,23154.69,12,0
2024-05-16,North India,Electronics,8,26098.31,12,0
2024-05-17,North India,Electronics,3,8767.87,5,0
2024-05-18,North India,Electronics,7,19089.49,12,0
2024-05-19,North India,Electronics,6,19027.88,8,0
2024-05-20,North India,Electronics,6,16781.64,9,0
2024-05-21,North India,Electronics,3,10830.13,4,0
2024-05-22,North India,Electronics,2,6163.55,3,0
2024-05-23,North India,Electronics,5,14057.26,7,0
2024-05-24,North India,Electronics,10,22352.65,14,0
2024-05-25,North India,Electronics,10,38377.76,14,0
2024-05-26,North India,Electronics,8,25482.22,12,0
2024-05-27,North India,Electronics,6,20224.02,9,0
2024-05-28,North India,Electronics,9,38586.12,15,0
2024-05-29,North India,Electronics,15,44042.45,25,1
2024-05-30,North India,Electronics,14,43995.44,20,0
2024-05-31,North India,Electronics,9,26211.94,16,0
2024-06-01,North India,Electronics,13,39590.25,22,0
2024-06-02,North India,Electronics,10,28720.06,18,0
2024-06-03,North India,Electronics,2,7050.24,3,0
2024-06-04,North India,Electronics,4,14429.0,6,0
2024-06-05,North India,Electronics,7,23942.63,11,0
2024-06-06,North India,Electronics,1,2414.33,1,0
2024-06-07,North India,Electronics,9,22543.54,12,0
2024-06-08,North India,Electronics,9,18639.55,13,0
2024-06-09,North India,Electronics,7,22950.87,10,0
2024-06-10,North India,Electronics,4,11811.3,7,0
2024-06-11,North India,Electronics,9,22432.67,13,0
2024-06-12,North India,Electronics,6,16399.26,10,0
2024-06-13,North India,Electronics,9,26667.58,14,0
2024-06-14,North India,Electronics,5,14689.41,8,0
2024-06-15,North India,Electronics,8,25471.21,11,0
2024-06-16,North India,Electronics,15,49630.51,27,1
2024-06-17,North India,Electronics,6,17847.53,11,0
2024-06-18,North India,Electronics,7,23812.05,9,0
2024-06-19,North India,Electronics,8,31652.14,13,0
2024-06-20,North India,Electronics,6,13631.66,9,0
2024-06-21,North India,Electronics,10,24784.52,17,0
2024-06-22,North India,Electronics,8,25934.85,12,0
2024-06-23,North India,Electronics,12,43910.65,19,0
2024-06-24,North India,Electronics,6,20262.02,11,0
2024-06-25,North India,Electronics,5,16977.57,7,0
2024-06-26,North India,Electronics,4,9675.09,7,0
2024-06-27,North India,Electronics,5,20206.7,8,0
2024-06-28,North India,Electronics,5,17599.06,8,0
2024-06-29,North India,Electronics,12,42345.05,18,0
2024-06-30,North India,Electronics,17,63933.31,28,1
2024-07-01,North India,Electronics,5,20258.95,9,0
2024-07-02,North India,Electronics,4,14570.89,5,0
2024-07-03,North India,Electronics,5,13060.71,7,0
2024-07-04,North India,Electronics,6,20719.61,8,0
2024-07-05,North India,Electronics,7,25334.42,12,0
2024-07-06,North India,Electronics,5,13870.63,7,0
2024-07-07,North India,Electronics,7,28606.76,10,0
2024-07-08,North India,Electronics,3,10132.45,5,0
2024-07-09,North India,Electronics,5,18229.98,7,0
2024-07-10,North India,Electronics,3,8062.31,4,0
2024-07-11,North India,Electronics,11,40606.44,17,0
2024-07-12,North India,Electronics,5,16100.95,9,0
2024-07-13,North India,Electronics,9,36962.49,15,0
2024-07-14,North India,Electronics,6,18087.83,8,0
2024-07-15,North India,Electronics,10,24378.11,15,0
2024-07-16,North India,Electronics,7,19405.04,10,0
2024-07-17,North India,Electronics,9,23242.65,15,0
2024-07-18,North India,Electronics,9,26966.81,13,0
2024-07-19,North India,Electronics,8,26715.11,12,0
2024-07-20,North India,Electronics,15,40049.22,27,0
2024-07-21,North India,Electronics,8,33259.97,14,0
2024-07-22,North India,Electronics,4,14835.77,5,0
2024-07-23,North India,Electronics,5,18940.15,8,0
2024-07-24,North India,Electronics,6,17956.03,8,0
2024-07-25,North India,Electronics,2,7412.17,3,0
2024-07-26,North India,Electronics,9,30251.06,15,0
2024-07-27,North India,Electronics,11,37996.48,19,0
2024-07-28,North India,Electronics,8,19924.17,11,0
2024-07-29,North India,Electronics,4,11852.4,6,0
2024-07-30,North India,Electronics,10,28773.48,17,0
2024-07-31,North India,Electronics,4,13631.53,7,0
2024-08-01,North India,Electronics,4,13135.59,6,0
2024-08-02,North India,Electronics,4,8460.4,7,0
2024-08-03,North India,Electronics,11,37438.87,18,0
2024-08-04,North India,Electronics,8,23972.09,12,0
2024-08-05,North India,Electronics,3,7421.5,4,0
2024-08-06,North India,Electronics,6,24252.31,10,0
2024-08-07,North India,Electronics,4,11706.96,6,0
2024-08-08,North India,Electronics,8,25613.63,11,0
2024-08-09,North India,Electronics,9,24791.79,14,0
2024-08-10,North India,Electronics,12,35760.86,22,0
2024-08-11,North India,Electronics,11,30227.22,16,0
2024-08-12,North India,Electronics,10,34697.38,14,0
2024-08-13,North India,Electronics,7,23580.01,11,0
2024-08-14,North India,Electronics,3,9238.85,5,0
2024-08-15,North India,Electronics,3,10241.48,4,0
2024-08-16,North India,Electronics,6,17444.84,10,0
2024-08-17,North India,Electronics,9,30485.74,14,0
2024-08-18,North India,Electronics,16,51737.12,27,0
2024-08-19,North India,Electronics,2,6848.36,3,0
2024-08-20,North India,Electronics,9,32218.2,12,0
2024-08-21,North India,Electronics,4,11089.93,6,0
2024-08-22,North India,Electronics,8,25202.14,14,0
2024-08-23,North India,Electronics,6,19531.11,11,0
2024-08-24,North India,Electronics,16,48714.76,28,0
2024-08-25,North India,Electronics,12,29318.64,21,0
2024-08-26,North India,Electronics,8,20353.1,14,0
2024-08-27,North India,Electronics,7,19290.48,11,0
2024-08-28,North India,Electronics,7,21458.52,12,0
2024-08-29,North India,Electronics,8,29569.61,14,0
2024-08-30,North India,Electronics,7,18328.12,12,0
2024-08-31,North India,Electronics,11,25411.84,16,0
2024-09-01,North India,Electronics,7,18359.47,11,0
2024-09-02,North India,Electronics,4,11504.18,6,0
2024-09-03,North India,Electronics,7,21261.8,11,0
2024-09-04,North India,Electronics,3,9743.64,5,0
2024-09-05,North India,Electronics,3,9456.79,4,0
2024-09-06,North India,Electronics,4,13483.07,6,0
2024-09-07,North India,Electronics,6,17096.76,9,0
2024-09-08,North India,Electronics,14,52697.94,22,1
2024-09-09,North India,Electronics,9,38511.75,14,0
2024-09-10,North India,Electronics,3,9569.09,4,0
2024-09-11,North India,Electronics,4,13400.77,5,0
2024-09-12,North India,Electronics,4,13176.06,6,0
2024-09-13,North India,Electronics,10,24041.75,15,0
2024-09-14,North India,Electronics,12,31981.46,17,0
2024-09-15,North India,Electronics,4,15324.86,7,0
2024-09-16,North India,Electronics,4,11341.49,6,0
2024-09-17,North India,Electronics,7,29248.2,12,0
2024-09-18,North India,Electronics,5,14147.4,7,0
2024-09-19,North India,Electronics,3,8552.62,4,0
2024-09-20,North India,Electronics,3,12165.74,5,0
2024-09-21,North India,Electronics,11,38318.98,15,0
2024-09-22,North India,Electronics,10,29068.85,15,0
2024-09-23,North India,Electronics,4,11909.35,6,0
2024-09-24,North India,Electronics,10,31210.36,17,0
2024-09-25,North India,Electronics,10,30440.49,16,0
2024-09-26,North India,Electronics,6,16368.41,8,0
2024-09-27,North India,Electronics,8,28192.23,11,0
2024-09-28,North India,Electronics,10,30170.89,18,0
2024-09-29,North India,Electronics,7,21460.46,11,0
2024-09-30,North India,Electronics,11,32193.16,15,0
2024-10-01,North India,Electronics,7,25603.41,11,0
2024-10-02,North India,Electronics,13,40968.73,20,0
2024-10-03,North India,Electronics,13,49346.82,23,0
2024-10-04,North India,Electronics,14,60066.14,23,1
2024-10-05,North India,Electronics,18,61909.71,27,1
2024-10-06,North India,Electronics,17,47481.14,27,1
2024-10-07,North India,Electronics,17,52984.36,28,1
2024-10-08,North India,Electronics,8,31715.81,13,0
2024-10-09,North India,Electronics,10,31813.36,18,0
2024-10-10,North India,Electronics,18,72901.95,29,0
2024-10-11,North India,Electronics,11,32962.39,17,0
2024-10-12,North India,Electronics,9,27537.22,16,0
2024-10-13,North India,Electronics,12,34804.8,18,0
2024-10-14,North India,Electronics,14,49119.45,21,0
2024-10-15,North India,Electronics,4,11755.66,6,0
2024-10-16,North India,Electronics,6,17666.25,11,0
2024-10-17,North India,Electronics,8,26362.04,12,0
2024-10-18,North India,Electronics,8,23440.62,13,0
2024-10-19,North India,Electronics,11,36071.04,20,0
2024-10-20,North India,Electronics,13,38696.07,23,0
2024-10-21,North India,Electronics,6,23752.22,9,0
2024-10-22,North India,Electronics,8,23702.4,11,0
2024-10-23,North India,Electronics,11,41477.15,19,1
2024-10-24,North India,Electronics,15,42697.9,22,0
2024-10-25,North India,Electronics,10,36032.24,15,0
2024-10-26,North India,Electronics,15,35427.78,21,0
2024-10-27,North India,Electronics,15,66458.39,22,0
2024-10-28,North India,Electronics,9,30811.1,13,0
2024-10-29,North India,Electronics,17,48307.66,31,1
2024-10-30,North India,Electronics,12,33882.7,19,0
2024-10-31,North India,Electronics,17,63042.99,29,0
2024-11-01,North India,Electronics,8,26209.44,11,0
2024-11-02,North India,Electronics,19,70914.33,30,0
2024-11-03,North India,Electronics,23,68114.5,35,0
2024-11-04,North India,Electronics,10,32637.28,17,0
2024-11-05,North India,Electronics,13,26795.81,23,0
2024-11-06,North India,Electronics,10,27125.72,14,0
2024-11-07,North India,Electronics,14,38122.57,19,0
2024-11-08,North India,Electronics,11,33637.21,16,0
2024-11-09,North India,Electronics,19,63165.7,33,0
2024-11-10,North India,Electronics,23,91158.3,32,0
2024-11-11,North India,Electronics,13,46350.7,20,0
2024-11-12,North India,Electronics,16,52783.8,27,1
2024-11-13,North India,Electronics,13,44303.9,20,1
2024-11-14,North India,Electronics,9,35489.46,14,0
2024-11-15,North India,Electronics,16,55233.8,25,1
2024-11-16,North India,Electronics,15,45395.36,22,0
2024-11-17,North India,Electronics,19,73826.02,35,1
2024-11-18,North India,Electronics,9,29004.42,16,0
2024-11-19,North India,Electronics,8,26574.52,11,0
2024-11-20,North India,Electronics,6,21572.71,9,0
2024-11-21,North India,Electronics,11,26977.2,16,0
2024-11-22,North India,Electronics,9,32213.64,15,0
2024-11-23,North India,Electronics,15,54443.25,21,1
2024-11-24,North India,Electronics,17,53989.95,24,1
2024-11-25,North India,Electronics,11,43562.38,16,0
2024-11-26,North India,Electronics,10,32879.52,14,0
2024-11-27,North India,Electronics,7,24427.72,10,0
2024-11-28,North India,Electronics,17,59205.39,26,0
2024-11-29,North India,Electronics,10,32173.13,16,0
2024-11-30,North India,Electronics,19,59987.23,34,0
2024-12-01,North India,Electronics,8,19253.46,13,0
2024-12-02,North India,Electronics,5,20061.93,7,0
2024-12-03,North India,Electronics,6,15430.9,9,0
2024-12-04,North India,Electronics,4,12137.44,6,0
2024-12-05,North India,Electronics,12,42216.08,20,0
2024-12-06,North India,Electronics,9,32839.02,14,0
2024-12-07,North India,Electronics,5,13251.95,8,0
2024-12-08,North India,Electronics,11,41405.6,18,0
2024-12-09,North India,Electronics,6,17281.81,9,0
2024-12-10,North India,Electronics,4,11357.77,6,0
2024-12-11,North India,Electronics,2,6656.58,3,0
2024-12-12,North India,Electronics,6,18825.3,9,0
2024-12-13,North India,Electronics,6,19866.61,9,0
2024-12-14,North India,Electronics,7,16249.89,11,0
2024-12-15,North India,Electronics,8,23930.74,11,0
2024-12-16,North India,Electronics,7,20801.46,12,0
2024-12-17,North India,Electronics,6,22329.46,11,0
2024-12-18,North India,Electronics,8,29852.13,14,0
2024-12-19,North India,Electronics,5,16899.16,9,0
2024-12-20,North India,Electronics,6,16106.42,10,0
2024-12-21,North India,Electronics,12,48168.05,17,0
2024-12-22,North India,Electronics,6,18932.8,8,0
2024-12-23,North India,Electronics,5,15535.42,8,0
2024-12-24,North India,Electronics,5,14516.25,8,0
2024-12-25,North India,Electronics,6,24032.22,9,0
2024-12-26,North India,Electronics,4,16263.71,6,0
2024-12-27,North India,Electronics,4,11893.29,7,0
2024-12-28,North India,Electronics,13,47939.39,21,0
2024-12-29,North India,Electronics,10,29058.14,15,0
2024-12-30,North India,Electronics,11,33185.82,16,0
2024-12-31,North India,Electronics,7,27461.77,11,0
2025-01-01,North India,Electronics,6,18964.76,8,0
2025-01-02,North India,Electronics,6,25821.59,9,0
2025-01-03,North India,Electronics,8,31851.17,12,0
2025-01-04,North India,Electronics,9,33930.43,14,0
2025-01-05,North India,Electronics,17,36018.85,24,0
2025-01-06,North India,Electronics,6,19499.16,9,0
2025-01-07,North India,Electronics,8,17961.83,13,0
2025-01-08,North India,Electronics,5,14011.56,7,0
2025-01-09,North India,Electronics,8,29230.26,11,0
2025-01-10,North India,Electronics,7,24702.59,12,0
2025-01-11,North India,Electronics,20,64995.48,35,0
2025-01-12,North India,Electronics,12,32414.8,21,1
2025-01-13,North India,Electronics,7,19937.52,11,0
2025-01-14,North India,Electronics,12,41681.02,20,0
2025-01-15,North India,Electronics,5,19497.97,7,0
2025-01-16,North India,Electronics,7,20730.83,10,0
2025-01-17,North India,Electronics,4,14555.18,5,0
2025-01-18,North India,Electronics,17,52244.6,26,0
2025-01-19,North India,Electronics,6,18869.43,9,0
2025-01-20,North India,Electronics,1,2987.3,1,0
2025-01-21,North India,Electronics,3,7370.33,4,0
2025-01-22,North India,Electronics,4,15937.4,7,0
2025-01-23,North India,Electronics,8,25685.71,12,0
2025-01-24,North India,Electronics,9,29773.62,15,0
2025-01-25,North India,Electronics,10,30520.37,18,0
2025-01-26,North India,Electronics,6,19135.68,11,0
2025-01-27,North India,Electronics,8,21628.91,13,0
2025-01-28,North India,Electronics,11,38324.17,18,0
2025-01-29,North India,Electronics,7,21996.61,11,0
2025-01-30,North India,Electronics,12,33013.72,18,0
2025-01-31,North India,Electronics,6,15878.51,9,0
2025-02-01,North India,Electronics,14,35935.83,24,1
2025-02-02,North India,Electronics,11,37459.53,19,1
2025-02-03,North India,Electronics,4,13405.34,5,0
2025-02-04,North India,Electronics,9,35886.06,16,0
2025-02-05,North India,Electronics,9,24829.35,14,0
2025-02-06,North India,Electronics,9,29332.01,14,0
2025-02-07,North India,Electronics,12,31646.03,19,0
2025-02-08,North India,Electronics,15,51120.61,28,0
2025-02-09,North India,Electronics,9,34954.31,13,0
2025-02-10,North India,Electronics,5,19208.44,9,0
2025-02-11,North India,Electronics,9,29188.83,16,0
2025-02-12,North India,Electronics,7,21943.12,12,0
2025-02-13,North India,Electronics,2,6756.87,3,0
2025-02-14,North India,Electronics,8,19010.71,11,0
2025-02-15,North India,Electronics,10,29585.89,14,0
2025-02-16,North India,Electronics,10,32200.15,17,0
2025-02-17,North India,Electronics,6,18487.49,9,0
2025-02-18,North India,Electronics,5,15223.53,8,0
2025-02-19,North India,Electronics,4,13267.83,5,0
2025-02-20,North India,Electronics,7,21329.77,12,0
2025-02-21,North India,Electronics,9,29430.87,14,0
2025-02-22,North India,Electronics,14,45352.84,21,0
2025-02-23,North India,Electronics,8,23596.63,12,0
2025-02-24,North India,Electronics,4,13689.81,6,0
2025-02-25,North India,Electronics,3,9699.03,5,0
2025-02-26,North India,Electronics,6,21614.56,9,0
2025-02-27,North India,Electronics,6,16493.39,9,0
2025-02-28,North India,Electronics,6,22020.85,9,0
2025-03-01,North India,Electronics,3,9749.56,4,0
2025-03-02,North India,Electronics,9,28898.48,14,0
2025-03-03,North India,Electronics,9,26774.61,13,0
2025-03-04,North India,Electronics,5,16547.91,8,0
2025-03-05,North India,Electronics,7,21969.16,12,0
2025-03-06,North India,Electronics,4,12431.7,5,0
2025-03-07,North India,Electronics,6,18860.63,10,0
2025-03-08,North India,Electronics,7,31561.95,13,0
2025-03-09,North India,Electronics,13,45760.03,23,0
2025-03-10,North India,Electronics,10,27022.87,17,0
2025-03-11,North India,Electronics,10,24616.11,17,0
2025-03-12,North India,Electronics,8,25673.89,15,0
2025-03-13,North India,Electronics,7,23114.47,9,0
2025-03-14,North India,Electronics,10,36977.02,18,0
2025-03-15,North India,Electronics,12,41196.63,19,1
2025-03-16,North India,Electronics,15,51388.65,24,0
2025-03-17,North India,Electronics,4,15190.51,6,0
2025-03-18,North India,Electronics,7,23451.19,10,0
2025-03-19,North India,Electronics,11,48120.13,18,0
2025-03-20,North India,Electronics,5,13787.85,8,0
2025-03-21,North India,Electronics,7,18092.72,13,0
2025-03-22,North India,Electronics,11,43329.0,20,0
2025-03-23,North India,Electronics,11,30788.66,15,0
2025-03-24,North India,Electronics,5,15807.79,7,0
2025-03-25,North India,Electronics,6,18157.38,9,0
2025-03-26,North India,Electronics,11,31863.13,16,0
2025-03-27,North India,Electronics,7,24689.53,9,0
2025-03-28,North India,Electronics,12,39009.17,18,0
2025-03-29,North India,Electronics,16,53579.22,23,1
2025-03-30,North India,Electronics,15,38700.38,23,0
2025-03-31,North India,Electronics,5,14890.15,8,0
2025-04-01,North India,Electronics,10,35520.89,17,0
2025-04-02,North India,Electronics,8,29343.68,14,0
2025-04-03,North India,Electronics,9,28616.68,13,0
2025-04-04,North India,Electronics,6,16677.56,9,0
2025-04-05,North India,Electronics,12,31036.87,19,1
2025-04-06,North India,Electronics,16,40669.45,27,1
2025-04-07,North India,Electronics,7,23951.89,11,0
2025-04-08,North India,Electronics,8,25451.06,11,0
2025-04-09,North India,Electronics,8,27037.66,14,0
2025-04-10,North India,Electronics,2,6087.25,3,0
2025-04-11,North India,Electronics,3,11617.72,5,0
2025-04-12,North India,Electronics,11,32923.25,20,1
2025-04-13,North India,Electronics,11,34962.53,16,0
2025-04-14,North India,Electronics,6,18078.26,8,0
2025-04-15,North India,Electronics,8,20480.26,14,0
2025-04-16,North India,Electronics,4,13431.26,7,0
2025-04-17,North India,Electronics,9,42027.09,17,0
2025-04-18,North India,Electronics,8,28144.19,14,0
2025-04-19,North India,Electronics,8,22581.87,13,0
2025-04-20,North India,Electronics,7,23618.54,12,0
2025-04-21,North India,Electronics,7,22395.43,11,0
2025-04-22,North India,Electronics,6,19797.19,9,0
2025-04-23,North India,Electronics,8,21359.84,13,0
2025-04-24,North India,Electronics,6,17681.32,10,0
2025-04-25,North India,Electronics,6,17696.07,9,0
2025-04-26,North India,Electronics,13,35272.74,20,0
2025-04-27,North India,Electronics,5,15636.12,7,0
2025-04-28,North India,Electronics,6,20949.1,9,0
2025-04-29,North India,Electronics,13,49606.02,19,0
2025-04-30,North India,Electronics,8,24263.73,13,0
2025-05-01,North India,Electronics,8,21589.06,13,0
2025-05-02,North India,Electronics,4,16856.67,6,0
2025-05-03,North India,Electronics,7,19670.18,10,0
2025-05-04,North India,Electronics,6,15927.04,11,0
2025-05-05,North India,Electronics,3,8968.35,4,0
2025-05-06,North India,Electronics,8,27239.09,12,0
2025-05-07,North India,Electronics,10,36326.61,14,0
2025-05-08,North India,Electronics,7,25486.78,10,0
2025-05-09,North India,Electronics,8,20272.29,13,0
2025-05-10,North India,Electronics,10,33897.33,17,0
2025-05-11,North India,Electronics,8,21310.92,11,0
2025-05-12,North India,Electronics,6,20433.72,8,0
2025-05-13,North India,Electronics,2,7451.69,3,0
2025-05-14,North India,Electronics,7,21959.55,11,0
2025-05-15,North India,Electronics,11,34503.32,19,0
2025-05-16,North India,Electronics,5,15830.45,7,0
2025-05-17,North India,Electronics,8,28228.17,14,0
2025-05-18,North India,Electronics,7,20082.97,11,0
2025-05-19,North India,Electronics,8,20548.0,14,0
2025-05-20,North India,Electronics,8,28296.38,11,0
2025-05-21,North India,Electronics,4,14474.86,5,0
2025-05-22,North India,Electronics,7,22859.1,12,0
2025-05-23,North India,Electronics,11,34754.52,17,0
2025-05-24,North India,Electronics,8,27957.84,12,0
2025-05-25,North India,Electronics,8,31839.2,11,0
2025-05-26,North India,Electronics,6,17358.15,11,0
2025-05-27,North India,Electronics,10,27429.62,15,0
2025-05-28,North India,Electronics,9,25756.59,13,0
2025-05-29,North India,Electronics,11,37329.31,19,0
2025-05-30,North India,Electronics,7,25942.63,12,0
2025-05-31,North India,Electronics,12,38838.76,17,0
2025-06-01,North India,Electronics,7,25224.14,9,0
2025-06-02,North India,Electronics,4,11332.57,6,0
2025-06-03,North India,Electronics,9,24894.58,15,0
2025-06-04,North India,Electronics,10,32417.7,18,0
2025-06-05,North India,Electronics,6,20245.2,10,0
2025-06-06,North India,Electronics,9,25176.8,16,0
2025-06-07,North India,Electronics,13,37338.7,22,0
2025-06-08,North India,Electronics,13,33536.96,19,0
2025-06-09,North India,Electronics,5,12898.41,7,0
2025-06-10,North India,Electronics,5,15761.93,7,0
2025-06-11,North India,Electronics,13,43458.57,24,0
2025-06-12,North India,Electronics,4,11798.7,5,0
2025-06-13,North India,Electronics,6,21047.64,10,0
2025-06-14,North India,Electronics,7,24913.61,10,0
2025-06-15,North India,Electronics,5,14307.57,7,0
2025-06-16,North India,Electronics,8,16239.41,11,0
2025-06-17,North India,Electronics,8,24509.31,14,0
2025-06-18,North India,Electronics,10,28720.89,18,0
2025-06-19,North India,Electronics,10,20896.21,15,0
